                    Time	isStop	isStem	   Overall	          	 Attempted	          	                     Test	Approach                 
Sat Dec 10 18:23:15 2016	 False	 False	  0.570000	(1425/2468)	  0.577391	(1425/2468)	    cbtest_CN_test_2500ex	Trigram Simple trian&20  
Sat Dec 10 18:23:15 2016	 False	 False	  0.142800	(357/2477)	  0.144126	(357/2477)	    cbtest_CN_test_2500ex	TrigramWP 20 PP          
Sat Dec 10 18:23:15 2016	 False	 False	  0.336000	(840/2318)	  0.362381	(840/2318)	    cbtest_CN_test_2500ex	TrigramWP 20 PW          
Sat Dec 10 18:23:15 2016	 False	 False	  0.353200	(883/2477)	  0.356480	(883/2477)	    cbtest_CN_test_2500ex	TrigramWP 20 Pmixed      
Sat Dec 10 18:23:15 2016	 False	 False	  0.130800	(327/2023)	  0.161641	(327/2023)	    cbtest_CN_test_2500ex	TrigramWP 20 WP          
Sat Dec 10 18:23:15 2016	 False	 False	  0.320800	(802/1651)	  0.485766	(802/1651)	    cbtest_CN_test_2500ex	TrigramWP 20 WW          
Sat Dec 10 18:23:15 2016	 False	 False	  0.344400	(861/2025)	  0.425185	(861/2025)	    cbtest_CN_test_2500ex	TrigramWP 20 Wmixed      
Sat Dec 10 18:23:15 2016	 False	 False	  0.383200	(958/2500)	  0.383200	(958/2500)	    cbtest_CN_test_2500ex	TrigramWP MA             
Sat Dec 10 18:23:15 2016	 False	 False	  0.472800	(1182/2500)	  0.472800	(1182/2500)	    cbtest_CN_test_2500ex	TrigramWP MM             
Sat Dec 10 18:23:15 2016	 False	 False	  0.466000	(1165/2500)	  0.466000	(1165/2500)	    cbtest_CN_test_2500ex	TrigramWP mixed          
Sat Dec 10 18:23:16 2016	 False	 False	  0.137200	(343/2500)	  0.137200	(343/2500)	    cbtest_CN_test_2500ex	TrigramWP train PP       
Sat Dec 10 18:23:16 2016	 False	 False	  0.256000	(640/2500)	  0.256000	(640/2500)	    cbtest_CN_test_2500ex	TrigramWP train PW       
Sat Dec 10 18:23:16 2016	 False	 False	  0.281200	(703/2500)	  0.281200	(703/2500)	    cbtest_CN_test_2500ex	TrigramWP train Pmixed   
Sat Dec 10 18:23:16 2016	 False	 False	  0.138400	(346/2470)	  0.140081	(346/2470)	    cbtest_CN_test_2500ex	TrigramWP train WP       
Sat Dec 10 18:23:16 2016	 False	 False	  0.392000	(980/2386)	  0.410729	(980/2386)	    cbtest_CN_test_2500ex	TrigramWP train WW       
Sat Dec 10 18:23:16 2016	 False	 False	  0.402000	(1005/2470)	  0.406883	(1005/2470)	    cbtest_CN_test_2500ex	TrigramWP train Wmixed   
Sat Dec 10 18:23:16 2016	 False	 False	  0.492400	(1231/2500)	  0.492400	(1231/2500)	    cbtest_CN_test_2500ex	All Approaches           

Sat Dec 10 18:23:16 2016	 False	 False	  0.208000	(520/1407)	  0.369581	(520/1407)	     cbtest_P_test_2500ex	Trigram Simple 20        
Sat Dec 10 18:23:16 2016	 False	 False	  0.650000	(1625/2498)	  0.650520	(1625/2498)	     cbtest_P_test_2500ex	Trigram Simple trian     
Sat Dec 10 18:23:16 2016	 False	 False	  0.637600	(1594/2498)	  0.638110	(1594/2498)	     cbtest_P_test_2500ex	Trigram Simple trian&20  
Sat Dec 10 18:23:16 2016	 False	 False	  0.119600	(299/2480)	  0.120565	(299/2480)	     cbtest_P_test_2500ex	TrigramWP 20 PP          
Sat Dec 10 18:23:16 2016	 False	 False	  0.359200	(898/2430)	  0.369547	(898/2430)	     cbtest_P_test_2500ex	TrigramWP 20 PW          
Sat Dec 10 18:23:16 2016	 False	 False	  0.338800	(847/2481)	  0.341395	(847/2481)	     cbtest_P_test_2500ex	TrigramWP 20 Pmixed      
Sat Dec 10 18:23:16 2016	 False	 False	  0.066000	(165/1532)	  0.107702	(165/1532)	     cbtest_P_test_2500ex	TrigramWP 20 WP          
Sat Dec 10 18:23:16 2016	 False	 False	  0.206800	(517/1340)	  0.385821	(517/1340)	     cbtest_P_test_2500ex	TrigramWP 20 WW          
Sat Dec 10 18:23:16 2016	 False	 False	  0.210400	(526/1532)	  0.343342	(526/1532)	     cbtest_P_test_2500ex	TrigramWP 20 Wmixed      
Sat Dec 10 18:23:16 2016	 False	 False	  0.446000	(1115/2500)	  0.446000	(1115/2500)	     cbtest_P_test_2500ex	TrigramWP MA             
Sat Dec 10 18:23:16 2016	 False	 False	  0.585200	(1463/2500)	  0.585200	(1463/2500)	     cbtest_P_test_2500ex	TrigramWP MM             
Sat Dec 10 18:23:16 2016	 False	 False	  0.556000	(1390/2500)	  0.556000	(1390/2500)	     cbtest_P_test_2500ex	TrigramWP mixed          
Sat Dec 10 18:23:17 2016	 False	 False	  0.129200	(323/2500)	  0.129200	(323/2500)	     cbtest_P_test_2500ex	TrigramWP train PP       
Sat Dec 10 18:23:17 2016	 False	 False	  0.468000	(1170/2500)	  0.468000	(1170/2500)	     cbtest_P_test_2500ex	TrigramWP train PW       
Sat Dec 10 18:23:17 2016	 False	 False	  0.416800	(1042/2500)	  0.416800	(1042/2500)	     cbtest_P_test_2500ex	TrigramWP train Pmixed   
Sat Dec 10 18:23:17 2016	 False	 False	  0.172800	(432/2488)	  0.173633	(432/2488)	     cbtest_P_test_2500ex	TrigramWP train WP       
Sat Dec 10 18:23:17 2016	 False	 False	  0.643200	(1608/2487)	  0.646562	(1608/2487)	     cbtest_P_test_2500ex	TrigramWP train WW       
Sat Dec 10 18:23:17 2016	 False	 False	  0.616000	(1540/2488)	  0.618971	(1540/2488)	     cbtest_P_test_2500ex	TrigramWP train Wmixed   
Sat Dec 10 18:23:17 2016	 False	 False	  0.584000	(1460/2500)	  0.584000	(1460/2500)	     cbtest_P_test_2500ex	All Approaches           

Sat Dec 10 18:39:25 2016	 False	  True	  0.322400	(806/1385)	  0.581949	(806/1385)	    cbtest_NE_test_2500ex	Trigram Simple 20        
Sat Dec 10 18:39:25 2016	 False	  True	  0.257600	(644/2284)	  0.281961	(644/2284)	    cbtest_NE_test_2500ex	Trigram Simple trian     
Sat Dec 10 18:39:25 2016	 False	  True	  0.396400	(991/2330)	  0.425322	(991/2330)	    cbtest_NE_test_2500ex	Trigram Simple trian&20  
Sat Dec 10 18:39:25 2016	 False	  True	  0.172400	(431/2465)	  0.174848	(431/2465)	    cbtest_NE_test_2500ex	TrigramWP 20 PP          
Sat Dec 10 18:39:25 2016	 False	  True	  0.040000	(100/1115)	  0.089686	(100/1115)	    cbtest_NE_test_2500ex	TrigramWP 20 PW          
Sat Dec 10 18:39:25 2016	 False	  True	  0.176800	(442/2466)	  0.179238	(442/2466)	    cbtest_NE_test_2500ex	TrigramWP 20 Pmixed      
Sat Dec 10 18:39:25 2016	 False	  True	  0.109200	(273/1507)	  0.181155	(273/1507)	    cbtest_NE_test_2500ex	TrigramWP 20 WP          
Sat Dec 10 18:39:25 2016	 False	  True	  0.031600	  (79/476)	  0.165966	  (79/476)	    cbtest_NE_test_2500ex	TrigramWP 20 WW          
Sat Dec 10 18:39:25 2016	 False	  True	  0.119200	(298/1509)	  0.197482	(298/1509)	    cbtest_NE_test_2500ex	TrigramWP 20 Wmixed      
Sat Dec 10 18:39:25 2016	 False	  True	  0.136800	(342/2476)	  0.138126	(342/2476)	    cbtest_NE_test_2500ex	TrigramWP MA             
Sat Dec 10 18:39:25 2016	 False	  True	  0.172000	(430/2500)	  0.172000	(430/2500)	    cbtest_NE_test_2500ex	TrigramWP MM             
Sat Dec 10 18:39:25 2016	 False	  True	  0.176000	(440/2500)	  0.176000	(440/2500)	    cbtest_NE_test_2500ex	TrigramWP mixed          
Sat Dec 10 18:39:25 2016	 False	  True	  0.145600	(364/2500)	  0.145600	(364/2500)	    cbtest_NE_test_2500ex	TrigramWP train PP       
Sat Dec 10 18:39:25 2016	 False	  True	  0.052000	(130/2346)	  0.055413	(130/2346)	    cbtest_NE_test_2500ex	TrigramWP train PW       
Sat Dec 10 18:39:25 2016	 False	  True	  0.140400	(351/2500)	  0.140400	(351/2500)	    cbtest_NE_test_2500ex	TrigramWP train Pmixed   
Sat Dec 10 18:39:25 2016	 False	  True	  0.129600	(324/2164)	  0.149723	(324/2164)	    cbtest_NE_test_2500ex	TrigramWP train WP       
Sat Dec 10 18:39:25 2016	 False	  True	  0.054800	(137/1679)	  0.081596	(137/1679)	    cbtest_NE_test_2500ex	TrigramWP train WW       
Sat Dec 10 18:39:25 2016	 False	  True	  0.138800	(347/2164)	  0.160351	(347/2164)	    cbtest_NE_test_2500ex	TrigramWP train Wmixed   
Sat Dec 10 18:39:26 2016	 False	  True	  0.314000	(785/2500)	  0.314000	(785/2500)	    cbtest_NE_test_2500ex	All Approaches           

Sat Dec 10 18:39:26 2016	 False	  True	  0.302400	(756/1328)	  0.569277	(756/1328)	     cbtest_V_test_2500ex	Trigram Simple 20        
Sat Dec 10 18:39:26 2016	 False	  True	  0.583600	(1459/2468)	  0.591167	(1459/2468)	     cbtest_V_test_2500ex	Trigram Simple trian     
Sat Dec 10 18:39:26 2016	 False	  True	  0.568800	(1422/2475)	  0.574545	(1422/2475)	     cbtest_V_test_2500ex	Trigram Simple trian&20  
Sat Dec 10 18:39:26 2016	 False	  True	  0.126400	(316/2489)	  0.126959	(316/2489)	     cbtest_V_test_2500ex	TrigramWP 20 PP          
Sat Dec 10 18:39:26 2016	 False	  True	  0.347600	(869/2065)	  0.420823	(869/2065)	     cbtest_V_test_2500ex	TrigramWP 20 PW          
Sat Dec 10 18:39:26 2016	 False	  True	  0.365200	(913/2490)	  0.366667	(913/2490)	     cbtest_V_test_2500ex	TrigramWP 20 Pmixed      
Sat Dec 10 18:39:26 2016	 False	  True	  0.100000	(250/1817)	  0.137589	(250/1817)	     cbtest_V_test_2500ex	TrigramWP 20 WP          
Sat Dec 10 18:39:26 2016	 False	  True	  0.235200	(588/1086)	  0.541436	(588/1086)	     cbtest_V_test_2500ex	TrigramWP 20 WW          
Sat Dec 10 18:39:26 2016	 False	  True	  0.273600	(684/1830)	  0.373770	(684/1830)	     cbtest_V_test_2500ex	TrigramWP 20 Wmixed      
Sat Dec 10 18:39:26 2016	 False	  True	  0.478400	(1196/2500)	  0.478400	(1196/2500)	     cbtest_V_test_2500ex	TrigramWP MA             
Sat Dec 10 18:39:26 2016	 False	  True	  0.472400	(1181/2500)	  0.472400	(1181/2500)	     cbtest_V_test_2500ex	TrigramWP MM             
Sat Dec 10 18:39:26 2016	 False	  True	  0.496000	(1240/2500)	  0.496000	(1240/2500)	     cbtest_V_test_2500ex	TrigramWP mixed          
Sat Dec 10 18:39:26 2016	 False	  True	  0.125200	(313/2500)	  0.125200	(313/2500)	     cbtest_V_test_2500ex	TrigramWP train PP       
Sat Dec 10 18:39:26 2016	 False	  True	  0.504400	(1261/2500)	  0.504400	(1261/2500)	     cbtest_V_test_2500ex	TrigramWP train PW       
